a = -230.610201; b = 3511718.077515; cout = 9634090322012.396484
a = 3492011.488024; b = 4794108.158830; cout = 3627935552901.864258
a = 3492012.920207; b = 4803972.668980; cout = 3636348677654.957520
a = 3492014.352390; b = 4813837.179129; cout = 3644957157450.376953
a = 3492015.784573; b = 4823701.689278; cout = 3653760992288.110352
a = 3492017.216756; b = 4833566.199428; cout = 3662760182168.164551
a = 3492018.648938; b = 4843430.709577; cout = 3671954727090.532715
a = 3492020.081121; b = 4853295.219727; cout = 3681344627055.219727
a = 3492021.513304; b = 4863159.729876; cout = 3690929882062.229004
a = 3492022.945487; b = 4873024.240025; cout = 3700710492111.549805
a = 3492000.690681; b = 4882887.762884; cout = 3710577782379.521484
a = 3491946.872019; b = 4892749.970312; cout = 6951051055473.166016
a = 3491948.304202; b = 4902614.480462; cout = 6954896299896.549805
a = 3491949.736385; b = 4912478.990611; cout = 6958936899362.271484
a = 3491951.168568; b = 4922343.500760; cout = 6963172853870.305664
a = 3491952.600751; b = 4932208.010910; cout = 6967604163420.652344
a = 3491954.032934; b = 4942072.521059; cout = 6972230828013.312500
a = 3491955.465117; b = 4951937.031209; cout = 6977052847648.318359
a = 3491956.897300; b = 4961801.541358; cout = 6982070222325.619141
a = 3491958.329483; b = 4971666.051507; cout = 6987282952045.246094
a = 3491959.761666; b = 4981530.561657; cout = 6992691036807.183594
a = 3491961.193849; b = 4991395.071806; cout = 6998294476611.441406
a = 3491962.626032; b = 5001259.581955; cout = 7004093271458.013672
a = 3491964.058215; b = 5011124.092105; cout = 7010087421346.915039
a = 3491965.490398; b = 5020988.602254; cout = 7016276926278.123047
a = 3491966.922581; b = 5030853.112403; cout = 7022661786251.645508
a = 3491968.354764; b = 5040717.622553; cout = 7029242001267.494141
a = 3491969.786947; b = 5050582.132702; cout = 7036017571325.661133
a = 3491971.219130; b = 5060446.642852; cout = 7042988496426.143555
a = 3491972.651313; b = 5070311.153001; cout = 7050154776568.950195
a = 3491974.083496; b = 5080175.663150; cout = 7057516411754.063477
a = 3491975.515679; b = 5090040.173300; cout = 7065073401981.494141
a = 3491976.947862; b = 5099904.683449; cout = 7072825747251.256836
a = 3491978.380044; b = 5109769.193598; cout = 7080773447563.329102
a = 3491977.506882; b = 5119633.374960; cout = 7088926303470.521484
a = 3491958.220723; b = 5129494.927532; cout = 9187472546483.164062
a = 3491959.652906; b = 5139359.437681; cout = 9189513705731.712891
a = 3491961.085089; b = 5149223.947831; cout = 9191750220022.582031
a = 3491962.517272; b = 5159088.457980; cout = 9194182089355.748047
a = 3491963.949455; b = 5168952.968129; cout = 9196809313731.255859
a = 3491965.381638; b = 5178817.478279; cout = 9199631893149.070312
a = 3491966.813821; b = 5188681.988428; cout = 9202649827609.214844
a = 3491968.246004; b = 5198546.498577; cout = 9205863117111.675781
a = 3491969.678187; b = 5208411.008727; cout = 9209271761656.437500
a = 3491971.110370; b = 5218275.518876; cout = 9212875761243.527344
a = 3491972.542553; b = 5228140.029026; cout = 9216675115872.935547
a = 3491973.974736; b = 5238004.539175; cout = 9220669825544.662109
a = 3491975.406919; b = 5247869.049324; cout = 9224859890258.699219
a = 3491976.839102; b = 5257733.559474; cout = 9229245310015.066406
a = 3491978.271285; b = 5267598.069623; cout = 9233826084813.738281
a = 3491979.703468; b = 5277462.579772; cout = 9238602214654.738281
a = 3491981.135651; b = 5287327.089922; cout = 9243573699538.050781
a = 3491982.567834; b = 5297191.600071; cout = 9248740539463.685547
a = 3491984.000017; b = 5307056.110221; cout = 9254102734431.636719
a = 3491985.432200; b = 5316920.620370; cout = 9259660284441.902344
a = 3491986.864383; b = 5326785.130519; cout = 9265413189494.494141
a = 3491988.296566; b = 5336649.640669; cout = 9271361449589.398438
a = 3491989.728749; b = 5346514.150818; cout = 9277505064726.613281
a = 3491991.160932; b = 5356378.660967; cout = 9283844034906.152344
a = 3491992.593115; b = 5366243.171117; cout = 9290378360128.011719
a = 3491994.025298; b = 5376107.681266; cout = 9297108040392.193359
a = 3491995.457481; b = 5385972.191416; cout = 9304033075698.681641
a = 3491996.889664; b = 5395836.701565; cout = 9311153466047.501953
a = 3491998.321847; b = 5405701.211714; cout = 9318469211438.632812
a = 3491999.754030; b = 5415565.721864; cout = 9325980311872.082031
a = 3492001.186213; b = 5425430.232013; cout = 9333686767347.841797
a = 3492002.618396; b = 5435294.742162; cout = 9341588577865.925781
a = 3492004.050579; b = 5445159.252312; cout = 9349685743426.328125
a = 3492005.482762; b = 5455023.762461; cout = 9357978264029.050781
a = 3492006.914945; b = 5464888.272610; cout = 9366466139674.089844
a = 3492008.347128; b = 5474752.782760; cout = 9375149370361.443359
a = 3492009.779311; b = 5484617.292909; cout = 9384027956091.111328
a = 3492011.211494; b = 5494481.803059; cout = 9393101896863.105469
a = 3491998.825599; b = 5504345.655133; cout = 9402340180740.714844
a = 3501840.437116; b = 2860678.755349; cout = 8559430407460.045898
a = 3501841.869299; b = 2870543.265498; cout = 8558425262760.440430
a = 3501843.301482; b = 2880407.775648; cout = 8557615473103.162109
a = 3501844.733665; b = 2890272.285797; cout = 8557001038488.205078
a = 3501846.165848; b = 2900136.795946; cout = 8556581958915.535156
a = 3501847.598031; b = 2910001.306096; cout = 8556358234385.208008
a = 3501849.030214; b = 2919865.816245; cout = 8556329864897.200195
a = 3501850.462397; b = 2929730.326394; cout = 8556496850451.500977
a = 3501851.894580; b = 2939594.836544; cout = 8556859191048.109375
a = 3501853.326763; b = 2949459.346693; cout = 8557416886687.043945
a = 3501854.758946; b = 2959323.856843; cout = 8558169937368.308594
a = 3501856.191129; b = 2969188.366992; cout = 8559118343091.879883
a = 3501857.623312; b = 2979052.877141; cout = 8560262103857.761719
a = 3501859.055495; b = 2988917.387291; cout = 8561601219665.971680
a = 3501860.487678; b = 2998781.897440; cout = 8563135690516.501953
a = 3501861.919861; b = 3008646.407589; cout = 8564865516409.348633
a = 3501863.352044; b = 3018510.917739; cout = 8566790697344.503906
a = 3501864.784227; b = 3028375.427888; cout = 8568911233321.994141
a = 3501866.216409; b = 3038239.938038; cout = 8571227124341.785156
a = 3501867.648592; b = 3048104.448187; cout = 8573738370403.907227
a = 3501869.080775; b = 3057968.958336; cout = 8576444971508.333984
a = 3501870.512958; b = 3067833.468486; cout = 8579346927655.091797
a = 3501871.945141; b = 3077697.978635; cout = 8582444238844.159180
a = 3501873.377324; b = 3087562.488784; cout = 8585736905075.555664
a = 3501864.279931; b = 3097426.341045; cout = 8589206256007.791992
a = 3501823.616396; b = 3107288.220787; cout = 5954952136728.567383
a = 3501825.048579; b = 3117152.730937; cout = 5952323001833.985352
a = 3501826.480762; b = 3127017.241086; cout = 5949889221981.705078
a = 3501827.912945; b = 3136881.751235; cout = 5947650797171.767578
a = 3501829.345128; b = 3146746.261385; cout = 5945607727404.134766
a = 3501830.777311; b = 3156610.771534; cout = 5943760012678.827148
a = 3501832.209494; b = 3166475.281684; cout = 5942107652995.824219
a = 3501833.641677; b = 3176339.791833; cout = 5940650648355.144531
a = 3501835.073860; b = 3186204.301982; cout = 5939388998756.781250
a = 3501836.506043; b = 3196068.812132; cout = 5938322704200.750977
a = 3501837.938226; b = 3205933.322281; cout = 5937451764687.014648
a = 3501839.370409; b = 3215797.832430; cout = 5936776180215.610352
a = 3501840.802592; b = 3225662.342580; cout = 5936295950786.525391
a = 3501842.234775; b = 3235526.852729; cout = 5936011076399.751953
a = 3501843.666958; b = 3245391.362879; cout = 5935921557055.291992
a = 3501845.099141; b = 3255255.873028; cout = 5936027392753.160156
a = 3501846.531324; b = 3265120.383177; cout = 5936328583493.346680
a = 3501847.963507; b = 3274984.893327; cout = 5936825129275.850586
a = 3501849.395690; b = 3284849.403476; cout = 5937517030100.662109
a = 3501850.827872; b = 3294713.913625; cout = 5938404285967.803711
a = 3501852.260055; b = 3304578.423775; cout = 5939486896877.259766
a = 3501853.692238; b = 3314442.933924; cout = 5940764862829.029297
a = 3501855.124421; b = 3324307.444074; cout = 5942238183823.115234
a = 3501856.556604; b = 3334171.954223; cout = 5943906859859.529297
a = 3501857.988787; b = 3344036.464372; cout = 5945770890938.254883
a = 3501859.420970; b = 3353900.974522; cout = 5947830277059.295898
a = 3501860.853153; b = 3363765.484671; cout = 5950085018222.662109
a = 3501862.285336; b = 3373629.994820; cout = 5952535114428.341797
a = 3501863.717519; b = 3383494.504970; cout = 5955180565676.332031
a = 3501865.149702; b = 3393359.015119; cout = 5958021371966.658203
a = 3501866.581885; b = 3403223.525268; cout = 5961057533299.290039
a = 3501868.014068; b = 3413088.035418; cout = 5964289049674.239258
a = 3501869.446251; b = 3422952.545567; cout = 5967715921091.502930
a = 3501870.878434; b = 3432817.055717; cout = 5971338147551.099609
a = 3501872.310617; b = 3442681.565866; cout = 5975155729053.000977
a = 3501873.742800; b = 3452546.076015; cout = 5979168665597.218750
a = 3501875.174983; b = 3462410.586165; cout = 5983376957183.768555
a = 3501876.607166; b = 3472275.096314; cout = 5987780603812.624023
a = 3501878.039349; b = 3482139.606463; cout = 5992379605483.801758
a = 3501879.471532; b = 3492004.116613; cout = 5997173962197.300781
a = 3501880.903715; b = 3501868.626762; cout = 6002163673953.113281
a = 3501882.335898; b = 3511733.136912; cout = 6007348740751.243164
a = 3501883.768081; b = 3521597.647061; cout = 6012729162591.688477
a = 3501885.200264; b = 3531462.157210; cout = 6018304939474.461914
a = 3501886.632447; b = 3541326.667360; cout = 6024076071399.542969
a = 3501888.064630; b = 3551191.177509; cout = 6030042558366.943359
a = 3501889.496813; b = 3561055.687658; cout = 6036204400376.665039
a = 3501890.928996; b = 3570920.197808; cout = 6042561597428.704102
a = 3501892.361179; b = 3580784.707957; cout = 6049114149523.052734
a = 3501893.793362; b = 3590649.218107; cout = 6055862056659.740234
a = 3501895.225545; b = 3600513.728256; cout = 6062805318838.728516
a = 3501896.657728; b = 3610378.238405; cout = 6069943936060.038086
a = 3501898.089911; b = 3620242.748555; cout = 6077277908323.661133
a = 3501899.522094; b = 3630107.258704; cout = 6084807235629.614258
a = 3501900.954277; b = 3639971.768853; cout = 6092531917977.868164
a = 3501902.386460; b = 3649836.279003; cout = 6100451955368.450195
a = 3501903.818643; b = 3659700.789152; cout = 6108567347801.358398
a = 3501905.250826; b = 3669565.299302; cout = 6116878095276.573242
a = 3501906.683009; b = 3679429.809451; cout = 6125384197794.107422
a = 3501908.115192; b = 3689294.319600; cout = 6134085655353.963867
a = 3501909.547375; b = 3699158.829750; cout = 6142982467956.139648
a = 3501910.979558; b = 3709023.339899; cout = 6152074635600.622070
a = 3501912.411741; b = 3718887.850048; cout = 6161362158287.426758
a = 3501913.843924; b = 3728752.360198; cout = 6170845036016.557617
a = 3501915.276107; b = 3738616.870347; cout = 6180523268788.002930
a = 3501873.950198; b = 3748478.092844; cout = 2976187535523.439453
a = 3501875.382381; b = 3758342.602994; cout = 2979753698814.071777
a = 3501876.814564; b = 3768207.113143; cout = 2983515217147.020996
a = 3501878.246747; b = 3778071.623292; cout = 2987472090522.294922
a = 3501879.678929; b = 3787936.133442; cout = 2991624318939.877930
a = 3501881.111112; b = 3797800.643591; cout = 2995971902399.791016
a = 3501882.543295; b = 3807665.153740; cout = 3000514840902.015137
a = 3501883.975478; b = 3817529.663890; cout = 3005253134446.546387
a = 3501885.407661; b = 3827394.174039; cout = 3010186783033.405273
a = 3501886.839844; b = 3837258.684189; cout = 3015315786662.583008
a = 3501888.272027; b = 3847123.194338; cout = 3020640145334.082520
a = 3501889.704210; b = 3856987.704487; cout = 3026159859047.891602
a = 3501891.136393; b = 3866852.214637; cout = 3031874927804.022949
a = 3501892.568576; b = 3876716.724786; cout = 3037785351602.474609
a = 3501894.000759; b = 3886581.234935; cout = 3043891130443.239746
a = 3501895.432942; b = 3896445.745085; cout = 3050192264326.320312
a = 3501896.865125; b = 3906310.255234; cout = 3056688753251.729980
a = 3501898.297308; b = 3916174.765383; cout = 3063380597219.451660
a = 3501899.729491; b = 3926039.275533; cout = 3070267796229.491699
a = 3501901.161674; b = 3935903.785682; cout = 3077350350281.845215
a = 3501902.593857; b = 3945768.295832; cout = 3084628259376.516113
a = 3501904.026040; b = 3955632.805981; cout = 3092101523513.506836
a = 3501905.458223; b = 3965497.316130; cout = 3099770142692.813477
a = 3501906.890406; b = 3975361.826280; cout = 3107634116914.446777
a = 3501908.322589; b = 3985226.336429; cout = 3115693446178.380859
a = 3501865.356056; b = 3995089.201444; cout = 467645042785.114990
a = 3501822.381918; b = 4004952.066073; cout = 469968649914.630920
a = 3501823.814101; b = 4014816.576222; cout = 472087526865.166443
a = 3501825.246284; b = 4024681.086371; cout = 474401758858.018005
a = 3501826.678467; b = 4034545.596521; cout = 476911345893.187195
a = 3501828.110650; b = 4044410.106670; cout = 479616287970.676514
a = 3501829.542833; b = 4054274.616819; cout = 482516585090.484070
a = 3501830.975016; b = 4064139.126969; cout = 485612237252.614380
a = 3501832.407199; b = 4074003.637118; cout = 488903244457.051758
a = 3501833.839382; b = 4083868.147267; cout = 492389606703.813232
a = 3501835.271565; b = 4093732.657417; cout = 496071323992.889465
a = 3501836.703748; b = 4103597.167566; cout = 499948396324.295471
a = 3501838.135931; b = 4113461.677716; cout = 504020823698.006775
a = 3501839.568114; b = 4123326.187865; cout = 508288606114.037170
a = 3501841.000297; b = 4133190.698014; cout = 512751743572.389221
a = 3501842.432480; b = 4143055.208164; cout = 517410236073.050964
a = 3501843.864663; b = 4152919.718313; cout = 522264083616.043701
a = 3501845.296846; b = 4162784.228462; cout = 527313286201.348999
a = 3501846.729029; b = 4172648.738612; cout = 532557843828.974365
a = 3501848.161212; b = 4182513.248761; cout = 537997756498.909607
a = 3501849.593395; b = 4192377.758911; cout = 543633024211.170593
a = 3501851.025578; b = 4202242.269060; cout = 549463646965.749207
a = 3501852.457761; b = 4212106.779209; cout = 555489624762.642822
a = 3501853.889944; b = 4221971.289359; cout = 561710957601.850952
a = 3501855.322127; b = 4231835.799508; cout = 568127645483.381348
a = 3501856.754310; b = 4241700.309657; cout = 574739688407.230103
a = 3501858.186493; b = 4251564.819807; cout = 581547086373.395630
a = 3501859.618676; b = 4261429.329956; cout = 588549839381.878784
a = 3501861.050859; b = 4271293.840106; cout = 595747947432.679810
a = 3501862.483042; b = 4281158.350255; cout = 603141410525.797974
a = 3501863.915225; b = 4291022.860404; cout = 610730228661.235474
a = 3501865.347407; b = 4300887.370554; cout = 618514401838.992798
a = 3501866.779590; b = 4310751.880703; cout = 626493930059.063843
a = 3501868.211773; b = 4320616.390852; cout = 634668813321.453369
a = 3501869.643956; b = 4330480.901002; cout = 643039051626.164062
a = 3501871.076139; b = 4340345.411151; cout = 651604644973.189941
a = 3501872.508322; b = 4350209.921300; cout = 660365593362.533325
a = 3501873.940505; b = 4360074.431450; cout = 669321896794.195557
a = 3501875.372688; b = 4369938.941599; cout = 678473555268.173584
a = 3501876.804871; b = 4379803.451749; cout = 687820568784.474854
a = 3501878.237054; b = 4389667.961898; cout = 697362937343.090942
a = 3501866.510996; b = 4399531.157148; cout = 707063525582.053833
a = 3501848.210531; b = 4409393.695188; cout = 3388976585434.331055
a = 3501849.642714; b = 4419258.205337; cout = 3392607326241.937500
a = 3501851.074897; b = 4429122.715487; cout = 3396433422091.862305
a = 3501852.507080; b = 4438987.225636; cout = 3400454872984.107422
a = 3501853.939263; b = 4448851.735785; cout = 3404671678918.666992
a = 3501855.371446; b = 4458716.245935; cout = 3409083839895.545898
a = 3501856.803629; b = 4468580.756084; cout = 3413691355914.745605
a = 3501858.235812; b = 4478445.266234; cout = 3418494226976.256348
a = 3501859.667995; b = 4488309.776383; cout = 3423492453080.088379
a = 3501861.100178; b = 4498174.286532; cout = 3428686034226.241211
a = 3501862.532361; b = 4508038.796682; cout = 3434074970414.709961
a = 3501863.964544; b = 4517903.306831; cout = 3439659261645.492188
a = 3501865.396727; b = 4527767.816980; cout = 3445438907918.599121
a = 3501866.828910; b = 4537632.327130; cout = 3451413909234.022461
a = 3501868.261092; b = 4547496.837279; cout = 3457584265591.761230
a = 3501869.693275; b = 4557361.347428; cout = 3463949976991.816895
a = 3501871.125458; b = 4567225.857578; cout = 3470511043434.192871
a = 3501872.557641; b = 4577090.367727; cout = 3477267464918.892090
a = 3501873.989824; b = 4586954.877877; cout = 3484219241445.902832
a = 3501875.422007; b = 4596819.388026; cout = 3491366373015.229004
a = 3501876.854190; b = 4606683.898175; cout = 3498708859626.877930
a = 3501878.286373; b = 4616548.408325; cout = 3506246701280.840820
a = 3501879.718556; b = 4626412.918474; cout = 3513979897977.125977
a = 3501881.150739; b = 4636277.428623; cout = 3521908449715.728027
a = 3501866.786332; b = 4646141.280311; cout = 3529979597200.419434
a = 3501805.077271; b = 4656003.158910; cout = 6768722345841.055664
a = 3501806.509454; b = 4665867.669060; cout = 6770715531953.722656
a = 3501807.941637; b = 4675732.179209; cout = 6772904073108.712891
a = 3501809.373820; b = 4685596.689359; cout = 6775287969306.025391
a = 3501810.806003; b = 4695461.199508; cout = 6777867220545.656250
a = 3501812.238186; b = 4705325.709657; cout = 6780641826827.603516
a = 3501813.670369; b = 4715190.219807; cout = 6783611788151.866211
a = 3501815.102552; b = 4725054.729956; cout = 6786777104518.443359
a = 3501816.534735; b = 4734919.240105; cout = 6790137775927.340820
a = 3501817.966918; b = 4744783.750255; cout = 6793693802378.557617
a = 3501819.399101; b = 4754648.260404; cout = 6797445183872.094727
a = 3501820.831284; b = 4764512.770553; cout = 6801391920407.947266
a = 3501822.263467; b = 4774377.280703; cout = 6805534011986.121094
a = 3501823.695650; b = 4784241.790852; cout = 6809871458606.614258
a = 3501825.127833; b = 4794106.301002; cout = 6814404260269.413086
a = 3501826.560016; b = 4803970.811151; cout = 6819132416974.534180
a = 3501827.992198; b = 4813835.321300; cout = 6824055928721.975586
a = 3501829.424381; b = 4823699.831450; cout = 6829174795511.738281
a = 3501830.856564; b = 4833564.341599; cout = 6834489017343.815430
a = 3501832.288747; b = 4843428.851748; cout = 6839998594218.214844
a = 3501833.720930; b = 4853293.361898; cout = 6845703526134.931641
a = 3501835.153113; b = 4863157.872047; cout = 6851603813093.958008
a = 3501836.585296; b = 4873022.382197; cout = 6857699455095.309570
a = 3501838.017479; b = 4882886.892346; cout = 6863990452138.982422
a = 3501839.449662; b = 4892751.402495; cout = 6870476804224.958984
a = 3501840.881845; b = 4902615.912645; cout = 6877158511353.265625
a = 3501842.314028; b = 4912480.422794; cout = 6884035573523.883789
a = 3501843.746211; b = 4922344.932943; cout = 6891107990736.826172
a = 3501845.178394; b = 4932209.443093; cout = 6898375762992.084961
a = 3501846.610577; b = 4942073.953242; cout = 6905838890289.668945
a = 3501848.042760; b = 4951938.463392; cout = 6913497372629.555664
a = 3501849.474943; b = 4961802.973541; cout = 6921351210011.765625
a = 3501850.907126; b = 4971667.483690; cout = 6929400402436.292969
a = 3501852.339309; b = 4981531.993840; cout = 6937644949903.141602
a = 3501853.771492; b = 4991396.503989; cout = 6946084852412.310547
a = 3501855.203675; b = 5001261.014138; cout = 6954720109963.786133
a = 3501856.635858; b = 5011125.524288; cout = 6963550722557.584961
a = 3501858.068041; b = 5020990.034437; cout = 6972576690193.708984
a = 3501859.500224; b = 5030854.544586; cout = 6981798012872.150391
a = 3501860.932407; b = 5040719.054736; cout = 6991214690592.899414
a = 3501860.059245; b = 5050583.236097; cout = 7000828102523.268555
a = 3501840.773086; b = 5060444.788669; cout = 9100700527440.519531
a = 3501842.205269; b = 5070309.298819; cout = 9104210664097.757812
a = 3501843.637452; b = 5080173.808968; cout = 9107916155797.292969
a = 3501845.069635; b = 5090038.319117; cout = 9111817002539.154297
a = 3501846.501818; b = 5099902.829267; cout = 9115913204323.337891
a = 3501847.934001; b = 5109767.339416; cout = 9120204761149.845703
a = 3501849.366184; b = 5119631.849566; cout = 9124691673018.662109
a = 3501850.798367; b = 5129496.359715; cout = 9129373939929.796875
a = 3501852.230550; b = 5139360.869864; cout = 9134251561883.255859
a = 3501853.662733; b = 5149225.380014; cout = 9139324538879.019531
a = 3501855.094916; b = 5159089.890163; cout = 9144592870917.107422
a = 3501856.527099; b = 5168954.400312; cout = 9150056557997.517578
a = 3501857.959282; b = 5178818.910462; cout = 9155715600120.238281
a = 3501859.391465; b = 5188683.420611; cout = 9161569997285.287109
a = 3501860.823648; b = 5198547.930760; cout = 9167619749492.644531
a = 3501862.255831; b = 5208412.440910; cout = 9173864856742.318359
a = 3501863.688014; b = 5218276.951059; cout = 9180305319034.312500
a = 3501865.120197; b = 5228141.461209; cout = 9186941136368.628906
a = 3501866.552380; b = 5238005.971358; cout = 9193772308745.263672
a = 3501867.984563; b = 5247870.481507; cout = 9200798836164.214844
a = 3501869.416746; b = 5257734.991657; cout = 9208020718625.478516
a = 3501870.848929; b = 5267599.501806; cout = 9215437956129.062500
a = 3501872.281112; b = 5277464.011955; cout = 9223050548674.966797
a = 3501873.713295; b = 5287328.522105; cout = 9230858496263.185547
a = 3501861.329372; b = 5297192.374280; cout = 9238836157821.539062
a = 3511730.034265; b = 2831087.314162; cout = 8532271588147.866211
a = 3511730.150393; b = 2840951.167233; cout = 8533517223590.052734
a = 3511731.582576; b = 2850815.677382; cout = 8534957831510.712891
a = 3511733.014759; b = 2860680.187532; cout = 8536593794473.706055
a = 3511734.446942; b = 2870544.697681; cout = 8538425112478.998047
a = 3511735.879125; b = 2880409.207831; cout = 8540451785526.620117
a = 3511737.311308; b = 2890273.717980; cout = 8542673813616.546875
a = 3511738.743491; b = 2900138.228129; cout = 8545091196748.817383
a = 3511740.175674; b = 2910002.738279; cout = 8547703934923.381836
a = 3511741.607857; b = 2919867.248428; cout = 8550512028140.269531
a = 3511743.040040; b = 2929731.758577; cout = 8553515476399.482422
a = 3511728.682375; b = 2939595.282123; cout = 8556669735089.293945
a = 3511693.279112; b = 2949457.490580; cout = 5922052974511.497070
a = 3511694.711295; b = 2959322.000730; cout = 5919134621644.727539
a = 3511696.143478; b = 2969186.510879; cout = 5916411623820.288086
a = 3511697.575661; b = 2979051.021029; cout = 5913883981038.150391
a = 3511699.007844; b = 2988915.531178; cout = 5911551693298.339844
a = 3511700.440026; b = 2998780.041327; cout = 5909414760600.839844
a = 3511701.872209; b = 3008644.551477; cout = 5907473182945.675781
a = 3511703.304392; b = 3018509.061626; cout = 5905726960332.816406
a = 3511704.736575; b = 3028373.571775; cout = 5904176092762.272461
a = 3511706.168758; b = 3038238.081925; cout = 5902820580234.045898
a = 3511707.600941; b = 3048102.592074; cout = 5901660422748.145508
a = 3511709.033124; b = 3057967.102223; cout = 5900695620304.563477
a = 3511710.465307; b = 3067831.612373; cout = 5899926172903.288086
a = 3511711.897490; b = 3077696.122522; cout = 5899352080544.340820
a = 3511713.329673; b = 3087560.632672; cout = 5898973343227.708008
a = 3511714.761856; b = 3097425.142821; cout = 5898789960953.385742
a = 3511716.194039; b = 3107289.652970; cout = 5898801933721.395508
a = 3511717.626222; b = 3117154.163120; cout = 5899009261531.714844
a = 3511719.058405; b = 3127018.673269; cout = 5899411944384.355469
a = 3511720.490588; b = 3136883.183418; cout = 5900009982279.301758
a = 3511721.922771; b = 3146747.693568; cout = 5900803375216.583984
a = 3511723.354954; b = 3156612.203717; cout = 5901792123196.174805
a = 3511724.787137; b = 3166476.713867; cout = 5902976226218.084961
a = 3511726.219320; b = 3176341.224016; cout = 5904355684282.314453
a = 3511727.651503; b = 3186205.734165; cout = 5905930497388.861328
a = 3511729.083686; b = 3196070.244315; cout = 5907700665537.727539
a = 3511730.515869; b = 3205934.754464; cout = 5909666188728.906250
a = 3511731.948052; b = 3215799.264613; cout = 5911827066962.408203
a = 3511733.380235; b = 3225663.774763; cout = 5914183300238.224609
a = 3511734.812418; b = 3235528.284912; cout = 5916734888556.368164
a = 3511736.244601; b = 3245392.795062; cout = 5919481831916.823242
a = 3511737.676784; b = 3255257.305211; cout = 5922424130319.581055
a = 3511739.108967; b = 3265121.815360; cout = 5925561783764.684570
a = 3511740.541150; b = 3274986.325510; cout = 5928894792252.087891
a = 3511741.973333; b = 3284850.835659; cout = 5932423155781.813477
a = 3511743.405516; b = 3294715.345808; cout = 5936146874353.855469
a = 3511744.837699; b = 3304579.855958; cout = 5940065947968.218750
a = 3511746.269882; b = 3314444.366107; cout = 5944180376624.895508
a = 3511747.702065; b = 3324308.876257; cout = 5948490160323.891602
a = 3511749.134248; b = 3334173.386406; cout = 5952995299065.209961
a = 3511750.566431; b = 3344037.896555; cout = 5957695792848.838867
a = 3511751.998614; b = 3353902.406705; cout = 5962591641674.793945
a = 3511753.430797; b = 3363766.916854; cout = 5967682845543.061523
a = 3511754.862980; b = 3373631.427003; cout = 5972969404453.645508
a = 3511756.295163; b = 3383495.937153; cout = 5978451318406.544922
a = 3511757.727346; b = 3393360.447302; cout = 5984128587401.769531
a = 3511759.159529; b = 3403224.957451; cout = 5990001211439.318359
a = 3511760.591712; b = 3413089.467601; cout = 5996069190519.175781
a = 3511762.023895; b = 3422953.977750; cout = 6002332524641.348633
a = 3511763.456078; b = 3432818.487900; cout = 6008791213805.838867
a = 3511764.888261; b = 3442682.998049; cout = 6015445258012.661133
a = 3511766.320444; b = 3452547.508198; cout = 6022294657261.781250
a = 3511767.752627; b = 3462412.018348; cout = 6029339411553.237305
a = 3511769.184810; b = 3472276.528497; cout = 6036579520886.997070
a = 3511770.616992; b = 3482141.038646; cout = 6044014985263.082031
a = 3511772.049175; b = 3492005.548796; cout = 6051645804681.483398
a = 3511773.481358; b = 3501870.058945; cout = 6059471979142.203125
a = 3511774.913541; b = 3511734.569095; cout = 6067493508645.243164
a = 3511776.345724; b = 3521599.079244; cout = 6075710393190.603516
a = 3511777.777907; b = 3531463.589393; cout = 6084122632778.271484
a = 3511779.210090; b = 3541328.099543; cout = 6092730227408.262695
a = 3511780.642273; b = 3551192.609692; cout = 6101533177080.571289
a = 3511782.074456; b = 3561057.119841; cout = 6110531481795.198242
a = 3511783.506639; b = 3570921.629991; cout = 6119725141552.143555
a = 3511784.938822; b = 3580786.140140; cout = 6129114156351.409180
a = 3511786.371005; b = 3590650.650290; cout = 6138698526193.000977
a = 3511787.803188; b = 3600515.160439; cout = 6148478251076.897461
a = 3511789.235371; b = 3610379.670588; cout = 6158453331003.102539
a = 3511747.909462; b = 3620240.893085; cout = 2954267320740.810547
a = 3511749.341645; b = 3630105.403235; cout = 2958130331186.217773
a = 3511750.773828; b = 3639969.913384; cout = 2962188696673.938965
a = 3511752.206011; b = 3649834.423533; cout = 2966442417203.986328
a = 3511753.638194; b = 3659698.933683; cout = 2970891492776.345215
a = 3511755.070377; b = 3669563.443832; cout = 2975535923391.020508
a = 3511756.502560; b = 3679427.953982; cout = 2980375709048.028320
a = 3511757.934743; b = 3689292.464131; cout = 2985410849747.336426
a = 3511759.366926; b = 3699156.974280; cout = 2990641345488.965332
a = 3511760.799109; b = 3709021.484430; cout = 2996067196272.918945
a = 3511762.231292; b = 3718885.994579; cout = 3001688402099.193848
a = 3511728.141456; b = 3728749.188466; cout = 351346694766.123657
a = 3511676.290621; b = 3738611.724222; cout = 351424542025.730469
a = 3511677.722804; b = 3748476.234372; cout = 351105295538.580994
a = 3511679.154987; b = 3758340.744521; cout = 350981404093.761597
a = 3511680.587170; b = 3768205.254671; cout = 351052867691.249634
a = 3511682.019353; b = 3778069.764820; cout = 351319686331.063110
a = 3511683.451536; b = 3787934.274969; cout = 351781860013.193665
a = 3511684.883719; b = 3797798.785119; cout = 352439388737.646606
a = 3511686.315902; b = 3807663.295268; cout = 353292272504.410278
a = 3511687.748085; b = 3817527.805417; cout = 354340511313.490662
a = 3511689.180268; b = 3827392.315567; cout = 355584105164.893250
a = 3511690.612451; b = 3837256.825716; cout = 357023054058.614136
